question_id,domain_id,difficulty,question_text,is_multi,option_a,option_b,option_c,option_d,option_e,correct_answer,source
22,3,hard,Which statistics on a Query Profile reflect the efficiency of the query pruning? (Choose two.),TRUE,Partitions scanned,Partitions total,Bytes scanned,Bytes spilled,Bytes written,"A,B",MANUAL
23,1,easy,Which operation can be performed on Snowflake external tables?,FALSE,INSERT,JOIN,RENAME,ALTER,,B,MANUAL
24,4,medium,A user wants to access files stored in a stage without authenticating into Snowflake. Which type of URL should be used?,FALSE,File URL,Staged URL,Scoped URL,Pre-signed URL,,D,MANUAL
25,3,medium,True or False: Snowflake bills for a minimum of five minutes each time a Virtual Warehouse is started.,FALSE,True,False,,,,B,MANUAL
26,1,easy,Which table function is used to view all errors encountered during a previous data load?,FALSE,VALIDATE,INFER_SCHEMA,GENERATOR,QUERY_HISTORY,,A,MANUAL
27,5,medium,What is the MINIMUM size requirement when creating a Snowpark-optimized virtual warehouse?,FALSE,X-Small,Small,Medium,Large,,A,MANUAL
28,2,easy,Which role has the ability to create and manage users and roles?,FALSE,ORGADMIN,USERADMIN,SYSADMIN,SECURITYADMIN,,B,MANUAL
29,3,hard,What issues can be identified and troubleshooted using the Query Profile? (Choose two.),TRUE,Full index scans,Cartesian products,Insufficient privileges,Queries too large to fit in memory,Virtual warehouse credit consumption,"B,D",MANUAL
30,6,easy,What happens to the objects in a reader account when the DROP MANAGED ACCOUNT command is executed?,FALSE,The objects are dropped.,The objects enter the Fail-safe period.,The objects enter the Time Travel period.,The objects are immediately moved to the provider account.,,A,MANUAL
31,1,easy,What function can be used with the recursive argument to return a list of distinct key names in all nested elements in an object?,FALSE,FLATTEN,GET_PATH,CHECK_JSON,PARSE_JSON,,A,MANUAL
32,3,easy,What does Snowflake recommend when planning virtual warehouse usage for a data load?,FALSE,Load the fewest possible number of large files.,Dedicate a separate warehouse for loading data.,Increase the size of the warehouse used.,Use several single-cluster warehouses.,,B,MANUAL
33,1,easy,Which Snowflake database object can be used to track data changes made to table data?,FALSE,Tag,Task,Stream,Stored procedure,,C,MANUAL
34,2,hard,Who can activate and enforce a network policy for all users in a Snowflake account? (Choose two.),TRUE,A user with an USERADMIN or higher role,A user with a SECURITYADMIN or higher role,A role that has been granted the ATTACH POLICY privilege,A role that has the NETWORK_POLICY account parameter set,A role that has the OWNERSHIP of the network policy,"B,C",MANUAL
35,6,hard,How can a data provider share their Snowflake data? (Choose two.),TRUE,External table,Snowpark API,Direct share,External function,Snowflake Marketplace listing,"C,E",MANUAL
36,3,easy,"When scaling up Virtual Warehouses by increasing Virtual Warehouse t-shirt size, you are primarily scaling for improved:",FALSE,Concurrency,Performance,,,,B,MANUAL
37,2,easy,What will prevent unauthorized access to a Snowflake account from an unknown source?,FALSE,Network policy,End-to-end encryption,Multi-Factor Authentication (MFA),Role-Based Access Control (RBAC),,A,MANUAL
38,3,medium,Which query type is supported for implementing the search optimization service?,FALSE,Queries with column concatenation,Substring search queries on external tables,String searches on columns using the COLLATE function,Geography value column searches using geospatial functions,,D,MANUAL
39,6,easy,"What Snowflake feature provides a data hub for secure data collaboration, with a selected group of invited members?",FALSE,Data Replication,Secure Data Sharing,Data Exchange,Snowflake Marketplace,,C,MANUAL
40,5,easy,Which semi-structured data function interprets an input string as a JSON document that produces a VARIANT value?,FALSE,PARSE_JSON,CHECK_JSON,JSON_EXTRACT_PATH_TEXT,PARSE_XML,,A,MANUAL
41,5,hard,Which Snowflake data types can be used to build nested hierarchical data? (Choose two.),TRUE,INTEGER,OBJECT,VARIANT,VARCHAR,LIST,"B,C",MANUAL
42,1,hard,Which statistics can be used to identify queries that have inefficient pruning? (Choose two.),TRUE,Bytes scanned,Bytes written to result,Partitions scanned,Partitions total,Percentage scanned from cache,"C,D",MANUAL
43,3,medium,Which element in the Query Profile interface shows the relationship between the nodes in the execution of a query?,FALSE,Node List,Steps,Overview,Operator Tree,,D,MANUAL
44,6,medium,What will happen if a Snowflake user suspends the updates to a materialized view?,FALSE,The queries on that view will generate an error message.,The queries on that view will return the last stored data.,The queries on that view will return the data using Time Travel.,The queries on that view will return the data with a warning message.,,A,MANUAL
45,4,easy,Which Snowflake function will parse a JSON-null into a SQL-null?,FALSE,TO_CHAR,TO_VARIANT,TO_VARCHAR,STRIP_NULL_VALUE,,D,MANUAL
46,4,easy,Which Snowflake command can be used to unload the result of a query to a single file?,FALSE,Use COPY INTO [external stage] followed by a GET command to download the file.,Use COPY INTO [internal stage] followed by a PUT command to download the file.,Use COPY INTO [internal stage] with SINGLE = TRUE followed by a GET command to download the file.,Use COPY INTO [external stage] with SINGLE = TRUE followed by a PUT command to download the file.,,C,MANUAL
47,3,medium,"As a best practice, clustering keys should only be defined on tables of which minimum size?",FALSE,Multi-Kilobyte (KB) Range,Multi-Megabyte (MB) Range,Multi-Gigabyte (GB) Range,Multi-Terabyte (TB) Range,,D,MANUAL
48,3,easy,How are micro-partitions enabled on Snowflake tables?,FALSE,Micro-partitioning requires a cluster key on a table.,Micro-partitioning is automatically performed on a table.,Micro-partitioning requires the use of the search optimization service.,Micro-partitioning is defined by the user when a table is created.,,B,MANUAL
49,3,medium,What persistent data structures are used by the search optimization service to improve the performance of point lookups?,FALSE,Micro-partitions,Clustering keys,Equality searches,Search access paths,,D,MANUAL
50,2,easy,Which Snowflake feature provides increased login security for users connecting to Snowflake that is powered by Duo Security service?,FALSE,OAuth,Network policies,Single Sign-On (SSO),Multi-Factor Authentication (MFA),,D,MANUAL
51,2,hard,A user with which privileges can create or manage other users in a Snowflake account? (Choose two.),TRUE,GRANT,SELECT,MODIFY,OWNERSHIP,CREATE USER,"D,E",MANUAL
52,3,hard,Which items are considered schema objects in Snowflake? (Choose two.),TRUE,Pipe,File format,Resource monitor,Storage integration,Virtual warehouse,"A,B",MANUAL
53,1,easy,What does SnowCD help Snowflake users to do?,FALSE,Copy data into files.,Manage different databases and schemas.,Troubleshoot network connections to Snowflake.,Write SELECT queries to retrieve data from external tables.,,C,MANUAL
54,2,easy,Awarding a user which privileges on all virtual warehouses is equivalent to granting the user the global MANAGE WAREHOUSES privilege?,FALSE,"MODIFY, MONITOR and OPERATE privileges",OWNERSHIP and USAGE privileges,APPLYBUDGET and AUDIT privileges,MANAGE LISTING AUTOFULFILLMENT and RESOLVE ALL privileges,,A,MANUAL
55,2,medium,A Snowflake account has activated federated authentication. What will occur when a user with a password that was defined by Snowflake attempts to log in to Snowflake?,FALSE,The user will be unable to enter a password.,"The user will encounter an error, and will not be able to log in.",The user will be able to log into Snowflake successfully.,"After entering the username and password, the user will be redirected to an Identity Provider (IdP) login page.",,C,MANUAL
56,3,easy,Which solution improves the performance of point lookup queries that return a small number of rows from large tables using highly selective filters?,FALSE,Automatic clustering,Materialized views,Query acceleration service,Search optimization service,,D,MANUAL
57,3,easy,What does a Notify & Suspend action for a resource monitor do?,FALSE,Send an alert notification to all account users who have notifications enabled.,Send an alert notification to all virtual warehouse users when thresholds over 100% have been met.,"Send a notification to all account administrators who have notifications enabled, and suspend all assigned warehouses after all statements being executed by the warehouses have completed.","Send a notification to all account administrators who have notifications enabled, and suspend all assigned warehouses immediately, canceling any statements being executed by the warehouses.",,C,MANUAL
59,2,easy,"When working with a managed access schema, who has the OWNERSHIP privilege of any tables added to the schema?",FALSE,The database owner,The object owner,The schema owner,The Snowflake user's role,,B,MANUAL
61,1,medium,"According to best practices, which table type should be used if the data can be recreated outside of Snowflake?",FALSE,Permanent table,Temporary table,Transient table,Volatile table,,C,MANUAL
62,4,easy,Which function unloads data from a relational table to JSON?,FALSE,TO_OBJECT,TO_JSON,TO_VARIANT,OBJECT_CONSTRUCT,,D,MANUAL
63,4,easy,What is the purpose of the STRIP_NULL_VALUES file format option when loading semi-structured data files into Snowflake?,FALSE,It removes null values from all columns in the data.,It converts null values to empty strings during loading.,It skips rows with null values during the loading process.,It removes object or array elements containing null values.,,D,MANUAL
64,6,medium,Which Snowflake edition enables data sharing only through Snowflake Support?,FALSE,Virtual Private Snowflake,Business Critical,Enterprise,Standard,,A,MANUAL
65,4,easy,What is the primary purpose of partitioning staged data files for regular data loads?,FALSE,To improve the performance of data loads,To compress the data for efficient storage,To encrypt the data for enhanced security,To organize the data into subfolders for easy browsing,,A,MANUAL
66,1,medium,What is the minimum Snowflake Edition that supports secure storage of Protected Health Information (PHI) data?,FALSE,Standard Edition,Enterprise Edition,Business Critical Edition,Virtual Private Snowflake Edition,,C,MANUAL
67,3,easy,What can a Snowflake user do to reduce queuing on a multi-cluster virtual warehouse?,FALSE,Increase the warehouse size.,Use an economy scaling policy.,Increase the maximum number of clusters.,Convert the warehouse to a Snowpark-optimized warehouse.,,C,MANUAL
68,1,hard,Which statements describe benefits of Snowflake's separation of compute and storage? (Choose two.),TRUE,The separation allows independent scaling of computing resources.,The separation ensures consistent data encryption across all virtual data warehouses.,The separation supports automatic conversion of semi-structured data into structured data for advanced data analysis.,Storage volume growth and compute usage growth can be tightly coupled.,Compute can be scaled up or down without the requirement to add more storage.,"A,E",MANUAL
69,1,medium,True or False: A Snowflake account is charged for data stored in both Internal and External Stages.,FALSE,True,False,,,,B,MANUAL
70,1,easy,What should be used to show the status of partial data loads and loading errors?,FALSE,The COPY_HISTORY function,The QUERY_HISTORY function,The ACCESS_HISTORY view,The WAREHOUSE_LOAD_HISTORY function,,A,MANUAL
71,4,hard,What transformations are supported when loading data into a table using the COPY INTO [table] command? (Choose two.),TRUE,Column reordering,Column omission,JOIN function,FLATTEN function,GROUP BY function,"A,B",MANUAL
73,6,medium,Which parameter can be set at the account level to set the minimum number of days for which Snowflake retains historical data in Time Travel?,FALSE,DATA_RETENTION_TIME_IN_DAYS,MAX_DATA_EXTENSION_TIME_IN_DAYS,MIN_DATA_RETENTION_TIME_IN_DAYS,MAX_CONCURRENCY_LEVEL,,C,MANUAL
75,3,medium,What is the relationship between a Query Profile and a virtual warehouse?,FALSE,A Query Profile can help users right-size virtual warehouses.,A Query Profile defines the hardware specifications of the virtual warehouse.,A Query Profile can help determine the number of virtual warehouses available.,A Query Profile automatically scales the virtual warehouse based on the query complexity.,,A,MANUAL
76,4,easy,Which transformation is supported by a COPY INTO [table] command?,FALSE,Filter using a WHERE clause,Filter using a LIMIT keyword,Cast using a SELECT statement,Order using an ORDER BY Clause,,C,MANUAL
77,1,easy,How can a Snowflake administrator determine which user has accessed a database object that contains sensitive information?,FALSE,Review the granted privileges to the database object.,Review the row access policy for the database object.,Query the ACCESS_HISTORY view in the ACCOUNT_USAGE schema.,Query the REPLICATION_USAGE_HISTORY view in the ORGANIZATION_USAGE schema.,,C,MANUAL
78,2,easy,How does conditional data masking work in Snowflake?,FALSE,It selectively masks plain text data.,It selectively masks multiple columns.,It masks all values in a given column.,It selectively masks a column value based on another column.,,D,MANUAL
79,3,medium,"If a virtual warehouse runs for 61 seconds, shuts down, and then restarts and runs for 30 seconds, for how many seconds is it billed?",FALSE,60,91,120,121,,D,MANUAL
80,3,medium,"True or False: When active, a Pipe requires a dedicated Virtual Warehouse to execute.",FALSE,True,False,,,,B,MANUAL
81,4,easy,"What function, combined with the copy command, should be used to unload data from a relational table into a JSON file?",FALSE,LATERAL,CAST,FLATTEN,OBJECT_CONSTRUCT,,D,MANUAL
82,4,easy,What is the primary purpose of a directory table in Snowflake?,FALSE,To store actual data from external stages,To automatically expire file URLs for security,To manage user privileges and access control,To store file-level metadata about data files in a stage,,D,MANUAL
84,1,easy,Which metadata table will store the storage utilization information even for dropped tables?,FALSE,DATABASE_STORAGE_USAGE_HISTORY,TABLE_STORAGE_METRICS,STORAGE_DAILY_HISTORY,STAGE_STORAGE_USAGE_HISTORY,,B,MANUAL
85,2,easy,How is role hierarchy established in Snowflake?,FALSE,By assigning users to roles,By default when a role is created,By granting one role to another role,By transferring ownership of one role to another role,,C,MANUAL
86,4,hard,What commands can be used to see what files are stored in a stage? (Choose two.),TRUE,LIST,SELECT,LS,GET,DESCRIBE,"A,C",MANUAL
87,4,hard,"Which stages are created by default, with no need to use the CREATE STAGE command? (Choose two.)",TRUE,External stage,Internal stage,Named stage,Table stage,User stage,"D,E",MANUAL
88,5,easy,"While working with unstructured data, which file function generates a Snowflake-hosted file URL to a staged file using the stage name and relative file path as inputs?",FALSE,BUILD_STAGE_FILE_URL,GET_ABSOLUTE_PATH,BUILD_SCOPED_FILE_URL,GET_PRESIGNED_URL,,A,MANUAL
89,2,hard,Who can create and manage reader accounts? (Choose two.),TRUE,A user with ACCOUNTADMIN role,A user with SECURITYADMIN role,A user with SYSADMIN role,A user with ORGADMIN role,A user with CREATE ACCOUNT privilege,"A,E",MANUAL
90,4,easy,Which command allows for continuous loading of data files as soon as they are available in a stage?,FALSE,COPY INTO [table],PUT,CREATE PIPE,GET,,C,MANUAL
91,2,medium,True or False: Snowflake supports federated authentication in all editions.,FALSE,True,False,,,,A,MANUAL
92,6,easy,What is an advantage of using database roles instead of granting privileges on objects directly to a share in Snowflake?,FALSE,Easier management of cross-region data sharing,Greater flexibility in including objects from multiple databases,More control over object-level access for different user groups,Reduction in the number of shares required for different objects in the same database,,C,MANUAL
93,1,easy,"What is the order of precedence (highest to lowest) of network policies when applied at the account, user, and security integrations layers?",FALSE,"Account, user, security integration","Account, security integration, user","User, security integration, account","User, account, security integration",,A,MANUAL
94,3,medium,"Which type of Snowflake virtual warehouse provides 16 times the memory for each node, and is recommended for larger workloads like Machine Learning (ML) training?",FALSE,A size 6XL warehouse,A standard warehouse,A multi-cluster warehouse,A Snowpark-optimized warehouse,,D,MANUAL
95,3,hard,Which common query issues can be identified by the Query Profile? (Choose two.),TRUE,Insufficient credit quota,Inefficient query pruning,Excessive query pruning,Exploding joins,Credit usage that exceeds a set threshold,"B,D",MANUAL
96,1,easy,"In Snowflake, what allows users to perform recursive queries?",FALSE,QUALIFY,LATERAL,PIVOT,CONNECT BY,,D,MANUAL
97,2,medium,A user wants to create objects within a schema but wants to restrict other usersʼ ability to grant privileges on these objects. What configuration should be used to create the schema?,FALSE,Use a regular (non-managed) schema.,Use a managed access schema.,Use a transient schema.,Set the Default_DDL_Collation parameter.,,B,MANUAL
99,2,hard,What objects in Snowflake are supported by Dynamic Data Masking? (Choose two.),TRUE,Views,Materialized views,Tables,External tables,Future grants,"A,C",MANUAL
100,6,easy,A user has created a dashboard in Snowflake and wants to share it with colleagues. How can the dashboard be shared?,FALSE,By creating a private Data Exchange,By using the share option within Snowsight,By using a Direct Share with another account,By creating a listing on Snowflake Marketplace,,B,MANUAL
101,6,easy,When would Snowsight automatically detect if a target account is in a different region and enable cross-cloud auto- fulfillment?,FALSE,When using a paid listing on the Snowflake Marktetplace,When using a private listing on the Snowflake Marketplace,When using a personalized listing on the Snowflake Marketplace,When using a Direct Share with another account,,B,MANUAL
102,1,medium,"True or False: When a new Snowflake object is created, it is automatically owned by the user who created it.",FALSE,True,False,,,,B,MANUAL
103,5,hard,Which languages require that User-Defined Function (UDF) handlers be written inline? (Choose two.),TRUE,Java,Javascript,Scala,Python,SQL,"B,E",MANUAL
104,2,medium,Which task privilege does a Snowflake role need in order to suspend or resume a task?,FALSE,USAGE,OPERATE,MONITOR,OWNERSHIP,,B,MANUAL
105,4,easy,What is a directory table in Snowflake?,FALSE,A separate database object that is used to store file-level metadata.,An object layered on a stage that is used to store file-level metadata.,A database object with grantable privileges for unstructured data tasks.,A Snowflake table specifically designed for storing unstructured files.,,B,MANUAL
106,1,hard,What factors impact storage costs in Snowflake? (Choose two.),TRUE,The account type,The storage file format,The cloud region used by the account,The type of data being stored,The cloud platform being used,"C,E",MANUAL
107,2,easy,Which ACCOUNT_USAGE schema database role provides visibility into policy-related information?,FALSE,USAGE_VIEWER,GOVERNANCE_VIEWER,OBJECT_VIEWER,SECURITY_VIEWER,,B,MANUAL
108,1,easy,How should clustering be used to optimize the performance of queries that run on a very large table?,FALSE,Manually re-cluster the table regularly.,Choose one high cardinality column as the clustering key.,Use the column that is most-frequently used in query select clauses as the clustering key.,Assess the average table depth to identify how clustering is impacting the query.,,D,MANUAL
109,2,easy,"Which privilege must be granted by one role to another role, and cannot be revoked?",FALSE,MONITOR,OPERATE,OWNERSHIP,ALL,,C,MANUAL
110,3,easy,How can performance be optimized for a query that returns a small amount of data from a very large base table?,FALSE,Use clustering keys,Create materialized views,Use the search optimization service,Use the query acceleration service,,C,MANUAL
112,4,easy,Use of which Snowflake function is recommended when unloading data from a relational table into a JSON file?,FALSE,TO_JSON,TO_VARIANT,OBJECT_INSERT,OBJECT_CONSTRUCT,,D,MANUAL
113,4,medium,True or False: The COPY command must specify a File Format in order to execute.,FALSE,True,False,,,,B,MANUAL
114,3,medium,True or False: A Virtual Warehouse consumes Snowflake credits even when inactive.,FALSE,True,False,,,,B,MANUAL
115,1,easy,Which command should be used to generate a single file when unloading data from a Snowflake table into a file?,FALSE,PARTITION BY [expr],MAX_FILE_SIZE = 0,SINGLE = TRUE,OVERWRITE = TRUE,,C,MANUAL
116,5,easy,Which function can be used to convert semi-structured data into rows and columns?,FALSE,TABLE,FLATTEN,PARSE_JSON,JSON_EXTRACT_PATH_TEXT,,B,MANUAL
117,2,hard,What user setting can be configured to disable Multi-Factor Authentication (MFA) for a Snowflake user? (Choose two.),TRUE,DISABLE_MFA,MINS_TO_BYPASS_MFA,PASSWORD,MINS_TO_UNLOCK,MUST_CHANGE_PASSWORD,"A,B",MANUAL
118,6,medium,Which table type has a Fail-safe period of 7 days?,FALSE,Temporary table,Transient table,Permanent table,External table,,C,MANUAL
119,2,easy,How does Snowflake enable OAuth?,FALSE,By creating an external integration,By configuring a security integration,By establishing IP allowed lists and IP blocked lists,By using SnowSQL to enable an external OAuth using the Snowflake protocol,,B,MANUAL
120,3,medium,Which type of workload traditionally benefits from the use of the query acceleration service?,FALSE,Workloads with a predictable data volume for each query,Workloads that include on-demand data analyses,Queries with small scans and non-selective filters,Queries that do not have filters or aggregation,,B,MANUAL
122,1,hard,"When unloading data, which combination of parameters should be used to differentiate between empty strings and NULL values? (Choose two.)",TRUE,ESCAPE_UNENCLOSED_FIELD,REPLACE_INVALID_CHARACTERS,FIELD_OPTIONALLY_ENCLOSED_BY,EMPTY_FIELD_AS_NULL,SKIP_BLANK_LINES,"C,D",MANUAL
123,2,easy,Which role must be used to create resource monitors?,FALSE,SECURITYADMIN,ACCOUNTADMIN,SYSADMIN,ORGADMIN,,B,MANUAL
124,4,easy,What step does Snowflake recommend when loading data from a stage?,FALSE,Use PURGE when using the COPY INTO [table] command.,Use REMOVE when using the COPY INTO [table] command.,Use the LOAD HISTORY function to view the status of loaded files.,Use the COPY HISTORY function to update the status of loaded files.,,A,MANUAL
125,4,medium,"True or False: During data unloading, only JSON and CSV files can be compressed.",FALSE,True,False,,,,B,MANUAL
126,6,easy,"How can a user MINIMIZE Continuous Data Protection costs when using large, high-churn, dimension tables?",FALSE,Create transient tables and periodically copy them to permanent tables.,Create temporary tables and periodically copy them to permanent tables.,Create regular tables with extended Time Travel and Fail-safe settings.,Create regular tables with default Time Travel and Fail-safe settings.,,A,MANUAL
127,1,easy,Which Snowsight feature can be used to perform data manipulations and transformations using a programming language?,FALSE,SnowSQL,Dashboards,Python worksheets,Provider Studio,,C,MANUAL
128,2,hard,"In Snowflake's data security framework, how does column-level security contribute to the protection of sensitive information? (Choose two.)",TRUE,Implementation of column-level security will optimize query performance.,Column-level security supports encryption of the entire database.,Column-level security ensures that only the table owner can access the data.,Column-level security limits access to specific columns within a table based on user privileges.,Column-level security allows the application of a masking policy to a column within a table or view.,"D,E",MANUAL
129,1,easy,How does Snowflake utilize clustering information to improve query performance?,FALSE,It prunes unnecessary micro-partitions based on clustering metadata.,It compresses the data within micro-partitions for faster querying.,It automatically allocates additional resources to improve query execution.,It organizes clustering information to speed-up data retrieval from storage.,,A,MANUAL
130,4,easy,How can staged files be removed during data loading once the files have loaded successfully?,FALSE,Use the DROP command.,Use the PURGE copy option.,Use the FORCE = TRUE parameter.,Use the LOAD_UNCERTAIN_FILES copy option.,,B,MANUAL
133,5,medium,Which type of workload is recommended for Snowpark-optimized virtual warehouses?,FALSE,Workloads with ad hoc analytics,Workloads that have large memory requirements,Workloads with unpredictable data volumes for each query,Workloads that are queried with small table scans and selective filters,,B,MANUAL
134,3,medium,A query containing a WHERE clause is running longer than expected. The Query Profile shows that all micro- partitions being scanned. How should this query be optimized?,FALSE,Create a view on the table.,Add a clustering key to the table.,Add a LIMIT clause to the query.,Add a Dynamic Data Masking policy to the table.,,B,MANUAL
135,3,medium,Which of the following are options when creating a Virtual Warehouse? (Choose two.),TRUE,Auto-suspend,Auto-resume,Local SSD size,User count,,"A,B",MANUAL
136,2,easy,Which access control entity in Snowflake can be created as part of a hierarchy within an account?,FALSE,Securable object,Role,Privilege,User,,B,MANUAL
137,1,easy,"When an object is created in Snowflake, who owns the object?",FALSE,The public role,The user's default role,The current active primary role,The owner of the parent schema,,C,MANUAL
138,1,medium,What is the MINIMUM Snowflake edition that must be used in order to see the ACCESS_HISTORY view?,FALSE,Standard,Enterprise,Business Critical,Virtual Private Snowflake (VPS),,B,MANUAL
139,3,medium,Which role is responsible for managing the billing and credit data within Snowflake?,FALSE,ORGADMIN,ACCOUNTADMIN,SYSADMIN,SECURITYADMIN,,A,MANUAL
140,4,easy,"What can be used to identify the database, schema, stage, and file path to a set of files, and to allow a role that has sufficient privileges on the stage to access the files?",FALSE,A scoped URL,A file URL,A pre-signed URL,A directory table,,A,MANUAL
141,4,easy,Which command is used to remove files from either external cloud storage or an internal stage?,FALSE,DELETE,REMOVE,TRUNCATE,DROP,,B,MANUAL
142,3,medium,"How does Snowflake recommend defining a clustering key on a high-cardinality column that includes a 15 digit ID numbered column, ID_NUMBER?",FALSE,"TRUNC(ID_NUMBER, -6)","TRUNC(ID_NUMBER, 5)",ID_NUMBER*100,TO_CHAR(ID_NUMBER),,A,MANUAL
143,4,easy,"While unloading data into a stage, how can the user ensure that the output will be a single file?",FALSE,Use the COPY option FILES=SINGLE.,Use the COPY option SINGLE=TRUE.,Use the GET option SINGLE=TRUE.,Use the GET option FILES=SINGLE.,,B,MANUAL
145,3,medium,Which Query Profile operator is considered a DML operator?,FALSE,ExternalScan,Flatten,Merge,Sort,,C,MANUAL
146,4,medium,Which formats are supported for unloading data from Snowflake? (Choose two.),TRUE,"Delimited (CSV, TSV, etc.)",Avro,JSON,ORC,,"A,C",MANUAL
147,2,easy,Masking policies are created at what level in Snowflake?,FALSE,Table,Column,Schema,Database,,C,MANUAL
148,1,easy,What would cause different results to be returned when running the same query twice?,FALSE,SAMPLE is used and the seed is set.,SAMPLE is used and the seed is not set.,Fraction-based sampling is used.,Fixed-size sampling is used.,,B,MANUAL
149,5,easy,What are type predicates used for?,FALSE,Extracting data from a VARIANT column,Casting a value in a VARIANT column to a particular data type,Determining if a value in a VARIANT column is a particular data type,Manipulating objects and arrays in a VARIANT column,,C,MANUAL
